region_code,region_name,match_level,obsr_spot_code,obsr_spot_name,do_se_code,clmt_zone_code,instl_la,instl_lo
4420025000,충청남도 아산시 염치읍,eupmyeondong,336812A001,아산시 염치읍,3,13,36.8257331962636,126.9679648119612
5119000000,강원특별자치도 태백시,sigungu,026002D003,태백시 매봉산,1,2,37.2230846246554,128.9651492465881
4150010300,경기도 이천시 중리동,eupmyeondong,467800A001,이천시 중리동,0,7,37.2726129367864,127.4330550458393
4822034000,경상남도 통영시 광도면,eupmyeondong,650821A001,통영시 광도면,7,16,34.8756200000000,128.4122800000000
4374525000,충청북도 증평군 증평읍,eupmyeondong,027926A001,증평군 증평읍,2,8,36.7812000000000,127.6122000000000
4163031000,경기도 양주시 은현면,eupmyeondong,482841A001,양주시 은현면,0,6,37.8204658690557,126.9726989790633
4374040000,충청북도 영동군 심천면,eupmyeondong,370853A001,영동군 심천면,2,4,36.2068785810895,127.7163816470953
4725033000,경상북도 상주시 낙동면,eupmyeondong,037251A006,상주시 낙동면,6,11,36.3671100000000,128.3083900000000
1217043000,전남광주통합특별시 나주시 봉황면,eupmyeondong,520853A003,나주시 봉황면,5,10,34.9582147267742,126.7484046413390
4423032000,충청남도 논산시 광석면,eupmyeondong,320862A001,논산시 광석면,3,14,36.2279532874194,127.0856028936476
5176036000,강원특별자치도 평창군 진부면,eupmyeondong,232941E001,평창군 진부면,1,1,37.6700556861615,128.5943015068459
5117011200,강원특별자치도 동해시 북평동,eupmyeondong,240813A001,동해시 북평동,1,18,37.4852015839046,129.1188242164255
5121011000,강원특별자치도 속초시 대포동,eupmyeondong,217060A001,속초시 대포동,1,17,38.1691946504317,128.5997099208545
5175025000,강원특별자치도 영월군 영월읍,eupmyeondong,230802A001,영월군 영월읍,1,3,37.1676363036401,128.4771644502047
5219025000,전북특별자치도 남원시 운봉읍,eupmyeondong,590834E001,남원시 운봉읍,4,9,35.4385122998086,127.5284342232906
1278031000,전남광주통합특별시 강진군 군동면,eupmyeondong,059223A001,강진군 군동면,5,15,34.6438126000000,126.7900304000000
4713000000,경상북도 경주시,sigungu,780950A001,경주시 용강상리,6,19,35.8671720750071,129.2252734048129
4782000000,경상북도 청도군,sigungu,038316F030,청도군 구라리,6,12,35.6473891000000,128.6509263000000
4775032000,경상북도 청송군 부남면,eupmyeondong,037448F025,청송군 부남면,6,5,36.3017054000000,129.1185167000000
5011000000,제주특별자치도 제주시,sigungu,063048F003,제주시 신엄리,8,20,33.4588890000000,126.3690890000000
4155031000,경기도 안성시 보개면,eupmyeondong,456871A001,안성시 보개면,0,13,37.0239266061455,127.2877656132125
5176000000,강원특별자치도 평창군,sigungu,232815E001,평창군 운교리,1,2,37.5374949216551,128.4406770242452
4150000000,경기도 이천시,sigungu,017421F029,이천시 진암리,0,7,37.1211258000000,127.6095615000000
4831034000,경상남도 거제시 거제면,eupmyeondong,656933A001,거제시 거제면,7,16,34.8565302375252,128.5805123815934
4375025000,충청북도 진천군 진천읍,eupmyeondong,365803A001,진천군 진천읍,2,8,36.8538590918434,127.4297729675491
4183025000,경기도 양평군 양평읍,eupmyeondong,476801A001,양평군 양평읍,0,6,37.5089763605439,127.5129549811034
4373025000,충청북도 옥천군 옥천읍,eupmyeondong,373805A001,옥천군 옥천읍,2,4,36.2999700454315,127.5965388033857
4728010300,경상북도 문경시 흥덕동,eupmyeondong,745230A001,문경시 흥덕동,6,11,36.6138889000000,128.2075306000000
1273025000,전남광주통합특별시 구례군 구례읍,eupmyeondong,542805A001,구례군 구례읍,5,10,35.1972900000000,127.4609100000000
5280034000,전북특별자치도 부안군 계화면,eupmyeondong,579824E001,부안군 계화면,4,14,35.7728137124119,126.6695858352487
5172000000,강원특별자치도 홍천군,sigungu,250845E001,홍천군 자운리,1,1,37.7175217709029,128.3802354376990
5123034000,강원특별자치도 삼척시 미로면,eupmyeondong,245825A002,삼척시 미로면,1,18,37.4102683358592,129.1062461994681
5183025000,강원특별자치도 양양군 양양읍,eupmyeondong,215821A001,양양군 양양읍,1,17,38.0919958649232,128.6324377986959
5113037000,강원특별자치도 원주시 흥업면,eupmyeondong,220844A001,원주시 흥업면,1,3,37.2950318712105,127.9170261066824
5219042000,전북특별자치도 남원시 이백면,eupmyeondong,590823A001,남원시 이백면,4,9,35.4260700000000,127.4379400000000
1274031000,전남광주통합특별시 고흥군 풍양면,eupmyeondong,548912A001,고흥군 풍양면,5,15,34.5664897936253,127.2581180596731
4711000000,경상북도 포항시,sigungu,037947A004,포항시 장기면,6,19,35.8959100000000,129.4522200000000
4782033000,경상북도 청도군 각북면,eupmyeondong,038303A002,청도군 각북면,6,12,35.6693081419922,128.5976590084128
4792032000,경상북도 봉화군 봉성면,eupmyeondong,755851A002,봉화군 봉성면,6,5,36.9012320244220,128.7732152498497
5011013400,제주특별자치도 제주시 오등동,eupmyeondong,063240F009,제주시 오등동,8,20,33.4658830000000,126.5391280000000
4180025000,경기도 연천군 연천읍,eupmyeondong,486803A001,연천군 연천읍,0,13,38.0843632868409,127.0784322641421
5181025000,강원특별자치도 인제군 인제읍,eupmyeondong,252805A001,인제군 인제읍,1,2,38.0965750861415,128.1841529363117
4165039000,경기도 포천시 영북면,eupmyeondong,011104F031,포천시 영북면,0,7,38.0913440000000,127.2809310000000
4817012200,경상남도 진주시 초전동,eupmyeondong,660985B001,진주시 초전동,7,16,35.2053856897418,128.1169794784073
4311000000,충청북도 청주시,sigungu,363844A001,청주시 남일면,2,8,36.5879445321045,127.5064587060118
4182025000,경기도 가평군 가평읍,eupmyeondong,477802A001,가평군 가평읍,0,6,37.8462172893295,127.5006371661440
4425031000,충청남도 계룡시 두마면,eupmyeondong,321916A001,계룡시 두마면,3,4,36.2616917568172,127.2772604357715
4723025000,경상북도 영천시 금호읍,eupmyeondong,038882F017,영천시 금호읍,6,11,35.9206520000000,128.8636650000000
1217039000,전남광주통합특별시 나주시 금천면,eupmyeondong,520821F001,나주시 금천면,5,10,35.0237139597746,126.7474754716671
5271033000,전북특별자치도 완주군 이서면,eupmyeondong,323891D002,완주군 이서면,4,14,35.8288117054826,127.0455907953870
5180000000,강원특별자치도 양구군,sigungu,255840A001,양구군 만대리,1,1,38.2631528000000,128.2631528000000
5123031000,강원특별자치도 삼척시 근덕면,eupmyeondong,245832A001,삼척시 근덕면,1,18,37.3847700000000,129.2283700000000
4315025000,충청북도 제천시 봉양읍,eupmyeondong,390874A001,제천시 봉양읍,2,3,37.1615680049508,128.1766830256354
5277040000,전북특별자치도 순창군 구림면,eupmyeondong,595870A001,순창군 구림면,4,9,35.4382172716685,127.0412064846703
1281033000,전남광주통합특별시 무안군 청계면,eupmyeondong,534833E001,무안군 청계면,5,15,34.9684964708572,126.4560881309745
4711300000,경상북도 포항시 북구,eupmyeondong,791945A001,포항시 북구,6,19,36.1130635439219,129.3063424219077
4782025000,경상북도 청도군 화양읍,eupmyeondong,714902A001,청도군 화양읍,6,12,35.6496900952946,128.7343190305611
4792000000,경상북도 봉화군,sigungu,036229B007,봉화군 외삼리,6,5,36.8985831487701,128.8085186515910
5011025600,제주특별자치도 제주시 구좌읍,eupmyeondong,063356F008,제주시 구좌읍,8,20,33.5032190000000,126.7711060000000
4427000000,충청남도 당진시,sigungu,343808A001,당진시 당진읍,3,13,36.9137723330210,126.6496889758083
5177025000,강원특별자치도 정선군 정선읍,eupmyeondong,233852A001,정선군 정선읍,1,2,37.4233251577744,128.6539509072861
4167011200,경기도 여주시 상거동,eupmyeondong,469803A001,여주시 상거동,0,7,37.2522643661190,127.6379650326619
4884031000,경상남도 남해군 이동면,eupmyeondong,668812F002,남해군 이동면,7,16,34.8161120428953,127.9255976086426
4313012200,충청북도 충주시 안림동,eupmyeondong,027486F033,충주시 안림동,2,8,36.9686660000000,127.9722590000000
4165034000,경기도 포천시 신북면,eupmyeondong,487915A001,포천시 신북면,0,6,37.9236499726384,127.2257303196088
4471031000,충청남도 금산군 금성면,eupmyeondong,312831A001,금산군 금성면,3,4,36.1258495124213,127.4940871391244
4773025000,경상북도 의성군 의성읍,eupmyeondong,037339B009,의성군 의성읍,6,11,36.3415887078891,128.7428047840330
1217037000,전남광주통합특별시 나주시 문평면,eupmyeondong,520943A002,나주시 문평면,5,10,35.0400424299005,126.6013693692160
5271000000,전북특별자치도 완주군,sigungu,055365F016,완주군 반교리,4,14,35.8302900000000,127.0322770000000
4777037000,경상북도 영덕군 병곡면,eupmyeondong,766851E001,영덕군 병곡면,6,18,36.5683166172364,129.3959597919179
1272031000,전남광주통합특별시 곡성군 오곡면,eupmyeondong,516821A001,곡성군 오곡면,5,9,35.2736472853422,127.3034442342975
1217034000,전남광주통합특별시 나주시 공산면,eupmyeondong,520892A001,나주시 공산면,5,15,34.9437918896197,126.6064415954619
3171031000,울산광역시 울주군 서생면,eupmyeondong,045012F021,울주군 서생면,15,19,35.3639380000000,129.3025780000000
4782034000,경상북도 청도군 이서면,eupmyeondong,038315B010,청도군 이서면,6,12,35.6478687676237,128.6485059812189
4717032000,경상북도 안동시 북후면,eupmyeondong,036614B005,안동시 북후면,6,5,36.6640198018783,128.7010387450229
5011025000,제주특별자치도 제주시 한림읍,eupmyeondong,695923A001,제주시 한림읍,8,20,33.3535429000000,126.2479350000000
4128000000,경기도 고양시,sigungu,411801A001,고양시 구산동,0,13,37.6745378617658,126.7007004677447
5177035000,강원특별자치도 정선군 임계면,eupmyeondong,233852A002,정선군 임계면,1,2,37.5047184690369,128.8763286550375
4146100000,경기도 용인시 처인구,eupmyeondong,449872A001,용인시 처인구,0,7,37.1738676491051,127.2989065316915
4824012600,경상남도 사천시 송포동,eupmyeondong,052546F018,사천시 송포동,7,16,34.9652000000000,128.0510110000000
4377031000,충청북도 음성군 소이면,eupmyeondong,269804A001,음성군 소이면,2,8,36.9136667231297,127.7617580145978
5178025900,강원특별자치도 철원군 동송읍,eupmyeondong,269811A001,철원군 동송읍,1,6,38.2032400000000,127.2502600000000
5274000000,전북특별자치도 장수군,sigungu,055640F028,장수군 개정리,4,4,35.6222192000000,127.5190849000000
4729033000,경상북도 경산시 자인면,eupmyeondong,712851A001,경산시 자인면,6,11,35.8170993371450,128.8113796325793
1215035000,전남광주통합특별시 순천시 주암면,eupmyeondong,540814A001,순천시 주암면,5,10,35.0575891067294,127.2825015085774
5213036000,전북특별자치도 군산시 개정면,eupmyeondong,054065A001,군산시 개정면,4,14,35.9613100000000,126.7798100000000
4793040000,경상북도 울진군 매화면,eupmyeondong,767862A001,울진군 매화면,6,18,36.9172190317020,129.3794322503960
4784000000,경상북도 성주군,sigungu,040054B002,성주군 대천리,6,9,35.8796905613321,128.1781519010874
1281034000,전남광주통합특별시 무안군 현경면,eupmyeondong,534844A001,무안군 현경면,5,15,35.0285526863229,126.4456763900397
3171026200,울산광역시 울주군 청량읍,eupmyeondong,689861A001,울주군 청량읍,15,19,35.5241169070790,129.2670428978857
4827034000,경상남도 밀양시 산내면,eupmyeondong,050415C005,밀양시 산내면,7,12,35.5944680000000,128.9546810000000
4776000000,경상북도 영양군,sigungu,036531B008,영양군 대천리,6,5,36.6544230883840,129.1486441277862
5011025900,제주특별자치도 제주시 조천읍,eupmyeondong,063336B011,제주시 조천읍,8,20,33.3171000000000,126.3749000000000
4111000000,경기도 수원시,sigungu,441707D001,수원시 서둔동,0,13,37.2736097877224,126.9929953999386
5119010100,강원특별자치도 태백시 황지동,eupmyeondong,235802A001,태백시 황지동,1,2,37.2063450830899,128.9857011944520
4161010600,경기도 광주시 목현동,eupmyeondong,464030A001,광주시 목현동,0,7,37.4323154274877,127.2339451285324
4825011500,경상남도 김해시 전하동,eupmyeondong,621100A001,김해시 전하동,7,16,35.2143150913266,128.8696206093711
4313011400,충청북도 충주시 달천동,eupmyeondong,380959A001,충주시 달천동,2,8,36.9501504496532,127.8972865499529
5111025000,강원특별자치도 춘천시 신북읍,eupmyeondong,200821A001,춘천시 신북읍,1,6,37.9340000414096,127.7537715728780
5273025000,전북특별자치도 무주군 무주읍,eupmyeondong,588802A001,무주군 무주읍,4,4,36.0039500000000,127.6719700000000
4719025000,경상북도 구미시 선산읍,eupmyeondong,730802A001,구미시 선산읍,6,11,36.2315663544958,128.2881241521951
1284025000,전남광주통합특별시 장성군 장성읍,eupmyeondong,515804A001,장성군 장성읍,5,10,35.3185035037958,126.7959529939331
5221036000,전북특별자치도 김제시 부량면,eupmyeondong,576040A001,김제시 부량면,4,14,35.7464476048752,126.8514645218314
4888000000,경상남도 거창군,sigungu,050124D004,거창군 동변리,7,9,35.7205176971129,127.9014232455621
1287025300,전남광주통합특별시 신안군 압해읍,eupmyeondong,535812A001,신안군 압해읍,5,15,34.8594384163165,126.2989816556064
4827036000,경상남도 밀양시 상남면,eupmyeondong,627911A001,밀양시 상남면,7,12,35.4480203062168,128.7579495394915
4776025000,경상북도 영양군 영양읍,eupmyeondong,764803A001,영양군 영양읍,6,5,36.6560829129162,129.1464063395407
5011025300,제주특별자치도 제주시 애월읍,eupmyeondong,063057B009,제주시 애월읍,8,20,33.4477240000000,126.4123020000000
4180036000,경기도 연천군 신서면,eupmyeondong,486831E011,연천군 신서면,0,13,38.1715790836453,127.1033466271985
5177025900,강원특별자치도 정선군 신동읍,eupmyeondong,026136A003,정선군 신동읍,1,2,37.2598799699101,128.5847705843219
5173036000,강원특별자치도 횡성군 공근면,eupmyeondong,225874A001,횡성군 공근면,1,7,37.5275072970014,127.9606639292125
4882025000,경상남도 고성군 고성읍,eupmyeondong,638802A001,고성군 고성읍,7,16,34.9905398126091,128.3309062447455
